expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
47,1,0,0,0,0,3,0,3,1,0,0,10,0,47,0,0,0,0,0,1,0,2,0,0,0,5,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0
48,2,0,1,0,0,0,0,0,14,6,2,0,0,0,0,0,0,0,31,1,2,0,1,0,20,0,2,2,0,2,2,1,15,0,0,1,7,0,20,0,14,0,0
49,0,1,0,0,0,4,5,3,0,0,1,0,0,9,80,0,1,0,0,0,0,55,0,6,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0
50,0,2,1,17,1,0,20,0,3,12,0,5,15,1,8,1,0,0,0,1,3,0,1,0,0,0,4,12,0,0,2,2,0,0,0,0,2,1,2,0,0,0,0
51,2,0,1,0,0,0,18,1,0,5,6,0,1,6,0,0,0,0,0,0,0,0,2,0,0,12,2,0,2,3,0,0,0,1,0,1,5,0,0,0,0,0,1
52,6,1,0,1,0,0,33,0,0,6,0,0,3,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,2,0,27,0
53,0,0,3,0,1,5,55,0,80,3,2,0,0,3,0,0,0,15,0,7,5,12,1,14,0,0,111,0,3,0,0,0,1,0,11,0,0,0,0,0,0,0,0
54,2,0,2,3,0,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,10,7,0,3,1,0,0,0,0,0,0,0,1,0,0
55,6,1,0,0,2,6,2,0,0,9,0,0,0,0,0,0,0,0,0,0,3,1,1,0,16,0,0,4,0,0,0,0,1,145,0,0,1,20,0,1,0,0,0
56,0,0,0,0,6,0,2,0,2,0,0,2,0,0,0,0,30,0,0,0,0,0,3,0,1,14,0,5,3,1,1,0,0,0,0,5,2,0,2,1,0,0,0
57,1,0,0,1,0,1,5,0,1,17,0,16,0,0,0,0,13,0,0,0,0,1,0,1,0,1,0,0,0,7,0,5,0,0,3,0,2,1,0,0,3,0,0
58,0,0,2,0,0,0,9,0,0,5,0,2,0,0,4,0,0,2,2,2,0,0,0,2,10,0,3,0,0,24,2,14,1,33,3,0,2,0,1,0,0,0,0
59,2,1,0,8,0,0,0,2,0,0,46,1,0,23,0,0,0,0,0,4,0,0,5,6,0,0,0,0,0,1,6,0,0,0,2,0,0,0,10,1,0,1,1
60,1,1,0,174,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,12,34,0,1,29,0,0,0,0,0,0,0,0,2,0,1,2,4,3,0,0,0,0,10
61,1,0,5,1,0,3,0,2,0,0,0,0,1,0,14,0,16,81,0,0,50,0,8,3,0,6,19,0,1,4,0,0,1,0,0,0,4,0,0,0,0,0,0
62,2,2,2,4,0,5,4,0,0,0,0,17,0,1,4,0,0,0,0,0,0,26,0,0,4,0,2,0,9,0,0,0,0,0,0,0,0,0,4,0,9,0,0
63,2,1,3,0,0,39,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,1,29,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
64,0,1,0,5,0,0,1,0,0,7,1,0,0,10,0,26,0,0,0,0,0,0,10,6,7,5,21,2,0,0,0,1,0,0,0,2,0,1,1,0,0,2,3
65,2,2,9,0,3,2,0,1,0,0,0,12,0,0,0,6,1,1,12,0,0,5,0,0,1,9,0,0,0,1,0,3,3,0,0,0,0,25,0,1,0,0,0
66,1,6,1,1,1,0,0,10,0,0,0,0,0,6,2,9,0,0,0,0,0,0,73,0,0,0,1,22,0,175,5,0,0,0,0,6,0,5,0,145,0,1,1
67,1,0,0,0,5,0,2,0,6,0,0,0,1,0,1,0,0,0,0,36,0,0,8,0,7,10,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0
68,0,0,0,5,2,0,10,12,20,0,1,11,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,5,2,0,0,0,0,3,5,1,0,0,0,0,0,0,110
