expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
68,10,16,10,27,17,1,54,41,41,3,8,41,0,6,0,1,1,10,0,13,0,58,2,7,0,10,0,12,6,0,2,0,4,16,17,6,2,2,10,0,0,3,264
69,4,23,5,1,7,10,21,23,0,22,21,29,0,0,0,0,1,107,3,1,5,2,7,1,6,11,20,0,83,0,23,1,0,2,19,0,6,9,5,0,3,3,0
70,11,7,9,1,9,0,4,6,6,0,11,99,11,2,1,0,0,2,0,3,18,0,0,72,0,0,0,7,0,0,10,4,6,17,1,36,13,2,0,2,3,0,7
71,3,3,5,7,0,0,5,0,16,2,15,2,0,0,0,22,0,0,0,3,0,0,38,0,0,14,0,22,11,10,1,20,3,0,3,7,0,3,1,2,0,0,3
72,5,17,12,9,1,1,0,6,0,14,15,1,0,21,5,0,0,4,0,0,1,7,2,2,1,1,0,46,170,24,0,1,49,0,3,0,0,5,0,0,12,0,3
73,15,4,7,4,6,0,6,11,12,11,4,15,0,3,53,5,2,1,5,10,1,2,4,22,8,16,10,7,5,16,1,0,0,0,0,0,0,12,4,1,4,2,10
74,23,6,24,263,0,0,0,2,4,0,5,1,0,0,0,0,3,1,12,12,4,0,17,0,8,1,0,0,2,12,17,0,3,4,0,15,0,4,2,58,7,0,5
75,7,8,15,4,0,0,42,6,4,12,8,1,0,0,0,10,1,10,23,0,4,99,4,15,3,0,37,13,16,2,2,1,0,3,0,0,8,0,5,9,6,4,15
76,17,17,8,0,6,15,40,15,12,2,14,6,0,1,7,14,15,0,0,0,3,3,16,26,4,3,0,0,0,5,0,8,0,0,2,0,11,32,21,0,5,6,0
77,21,18,23,15,13,0,22,0,2,0,3,3,10,15,0,0,1,72,0,22,3,0,0,13,7,0,0,47,0,1,14,3,4,0,2,0,14,52,4,1,0,86,20
78,13,8,4,0,27,25,32,7,15,6,10,0,44,27,3,0,4,99,0,23,5,1,5,0,13,10,46,1,0,0,1,9,0,11,0,7,0,8,1,0,5,32,3
79,21,14,3,10,0,0,3,0,1,5,0,1,2,0,0,96,11,1,46,5,1,0,20,0,0,0,29,0,2,20,5,0,11,0,7,0,98,1,0,5,0,0,1
