expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
52,6,4,2,4,1,1,6,0,0,4,0,0,1,0,0,0,2,1,0,0,2,1,6,3,0,0,0,0,1,1,2,3,2,0,1,0,0,0,2,4,1,8,1
53,2,4,7,1,4,2,4,1,2,5,3,1,0,1,0,0,0,2,0,3,6,0,3,4,0,1,0,0,1,0,1,0,3,1,0,2,0,0,1,0,0,0,1
54,7,3,3,6,0,0,0,9,0,1,1,0,4,1,0,1,0,0,0,0,1,3,0,4,4,2,0,2,1,2,0,1,1,0,0,0,0,0,0,1,1,0,5
55,9,6,1,1,3,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,0,0,2,0,2,0,1,2,0,0,1,1,6,0,2,0,0,0
56,2,6,3,0,5,0,2,0,4,0,0,1,0,1,0,0,5,0,0,0,1,3,1,0,3,1,0,4,6,2,1,0,0,1,0,2,1,1,3,1,0,0,0
57,5,3,3,3,0,1,2,0,1,1,0,2,0,0,0,0,3,0,0,0,0,1,0,3,0,1,0,2,1,1,0,2,0,1,2,0,4,2,0,1,0,0,0
58,1,5,3,0,1,0,5,0,0,7,1,3,0,0,1,1,1,1,3,1,0,0,0,2,2,0,5,0,0,3,2,1,1,5,1,0,3,1,2,0,0,0,0
59,6,5,1,3,0,0,0,2,0,0,5,1,0,2,0,0,0,1,0,6,0,0,6,0,1,0,0,0,1,2,8,0,2,0,2,1,0,0,3,1,0,5,2
60,5,3,5,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,2,3,0,1,10,0,0,0,1,0,1,0,0,1,0,4,2,1,4,0,1,0,0,6
61,3,5,5,5,1,4,0,1,0,0,0,0,2,0,7,0,0,2,0,0,6,1,1,3,0,1,3,0,1,2,0,0,1,1,1,1,2,1,0,3,0,0,0
62,5,3,5,0,0,2,6,0,1,2,1,2,0,2,1,0,0,0,1,0,0,10,0,1,4,0,2,0,1,1,0,0,0,0,1,1,1,0,1,0,2,0,0
63,3,4,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,3,0,0,4,0,1,4,4,0,2,1,0,0,2,0,0,0,0,2,0,0,2,0,1,2,0
64,6,3,2,1,0,0,1,1,0,0,1,0,0,2,1,6,0,0,1,1,0,0,2,2,3,3,1,5,0,0,0,1,0,0,0,4,0,1,3,1,0,2,4
65,7,8,8,0,5,3,0,1,1,2,0,2,0,0,0,6,1,1,1,1,0,3,1,1,2,2,0,1,1,0,0,2,1,0,1,0,0,7,0,3,0,1,0
66,3,6,4,1,4,0,0,8,1,0,0,1,0,1,2,5,0,0,0,0,0,2,3,0,0,2,1,0,0,0,7,0,0,0,0,6,0,1,0,0,0,1,3
67,4,4,2,3,2,0,2,0,6,0,0,0,1,0,2,0,0,0,1,3,0,0,3,1,0,4,0,0,3,1,0,1,0,0,1,1,1,7,1,1,0,0,1
68,5,6,4,2,1,1,6,2,1,3,2,1,0,0,0,1,0,0,0,2,0,2,0,1,0,1,0,3,1,0,1,0,0,2,0,1,1,0,0,0,0,0,4
69,2,8,3,1,3,0,6,0,0,1,4,1,0,0,0,0,1,3,1,0,2,0,4,0,1,1,4,0,1,0,0,0,0,1,3,0,2,1,1,0,0,3,0
70,5,2,1,1,3,0,3,0,1,0,7,6,1,0,1,0,0,2,0,1,3,0,0,7,0,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,1,0,3
71,1,1,2,2,0,0,2,0,3,1,5,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,1,0,0,1,1,0,0,2
72,3,5,3,3,0,0,0,2,0,2,5,0,0,5,3,0,0,3,0,0,1,1,1,2,1,0,0,2,2,4,0,1,0,0,0,0,0,2,0,0,2,0,1
73,1,2,2,1,1,0,1,4,3,0,3,1,0,0,2,1,1,0,1,4,1,1,0,6,1,3,0,4,1,0,0,0,0,0,0,0,0,1,2,1,0,1,3
74,6,4,11,3,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,3,1,0,9,0,2,1,0,0,0,1,2,0,2,1,0,5,0,2,1,4,3,0,1
75,3,5,7,2,0,0,2,2,1,1,3,1,0,0,0,3,1,6,2,0,1,3,4,2,1,0,1,1,1,1,0,0,0,2,0,0,1,0,1,4,0,0,2
76,7,8,3,0,1,5,2,2,0,2,1,1,0,1,3,3,2,0,0,0,2,2,3,1,1,1,0,0,0,2,0,4,0,0,1,0,1,4,2,0,1,0,0
77,8,6,5,5,4,0,3,0,0,0,1,1,2,1,0,0,1,5,0,3,2,0,0,0,1,0,0,2,0,0,1,2,1,0,1,0,2,1,0,0,0,3,8
78,6,6,2,0,3,2,5,1,3,2,0,0,1,0,0,0,0,2,0,5,0,0,2,0,1,1,1,0,0,0,1,1,0,2,0,1,0,1,0,0,4,6,1
79,8,2,0,0,0,0,3,0,0,3,0,0,1,0,0,0,2,0,8,3,1,0,5,0,0,0,5,0,1,6,2,0,4,0,0,0,3,1,0,2,0,0,1
80,4,0,4,0,5,3,0,5,1,8,0,0,0,1,1,0,1,0,5,3,0,4,3,1,0,2,0,1,1,0,1,3,1,1,5,7,0,1,1,0,0,1,4
